序号,source_id,当前链接,当前状态,替代链接建议A,建议A状态,替代链接建议B,建议B状态,建议优先动作,你需人工确认字段
1,SRC_AUTO_BM_SCS_GOV_CN_6B67637B,https://bm.scs.gov.cn,0,http://bm.scs.gov.cn,200,https://www.gov.cn/lianbo/bumen/202510/content_7044277.htm,200,先改A;B作政策佐证,source_name_final|source_date|snapshot_url|是否官方报名入口
2,SRC_AUTO_CAREER_BYD_COM_C93FDB3E,https://career.byd.com,0,https://job.byd.com,200,待补:比亚迪校招公告页,待确认,改A并补B,source_name_final|source_date|snapshot_url|是否校招入口
3,SRC_AUTO_JOB_CSCEC_COM_14CC3CCE,https://job.cscec.com,0,https://www.cscec.com,200,http://www.cscec.com,200,先改A;若需招聘专页再补B,source_name_final|source_date|snapshot_url|usage
4,SRC_AUTO_JOB_ICBC_COM_CN_C743FA65,https://job.icbc.com.cn,0,https://www.icbc.com.cn,200,待补:工行招聘专栏页,待确认,先改A后补B,source_name_final|source_date|snapshot_url|是否官方招聘栏目
5,SRC_AUTO_JOB_YILI_COM_DBF6000A,https://job.yili.com,0,https://www.yili.com,200,待补:伊利招聘频道页,待确认,先改A后补B,source_name_final|source_date|snapshot_url|usage
6,SRC_AUTO_WWW_CCB_COM_4CC35DD8,https://www.ccb.com,0,http://www.ccb.com,200,http://job.ccb.com,200,先改A;确认B后可切B,source_name_final|source_date|snapshot_url|是否官方招聘入口
7,SRC_AUTO_WWW_CCCC_LTD_CN_631F173,https://www.cccc-ltd.cn,0,http://www.cccc-ltd.cn,0,待补:中交可访问招聘页URL,待确认,维持待核验优先补B,source_url_final|source_date|snapshot_url|manual_verification_note
8,SRC_AUTO_WWW_CHINALIFE_COM_CN_BDC1A67F,https://www.chinalife.com.cn,0,http://www.chinalife.com.cn,200,待补:中国人寿招聘频道页,待确认,先改A后补B,source_name_final|source_date|snapshot_url|是否招聘频道
9,SRC_AUTO_WWW_CHINAUNICOM_COM_CN_19BCCC83,https://www.chinaunicom.com.cn,0,http://www.chinaunicom.com.cn,200,待补:中国联通招聘专页,待确认,先改A后补B,source_name_final|source_date|snapshot_url|usage
10,SRC_AUTO_WWW_CPTA_COM_CN_FD0AA5B3,https://www.cpta.com.cn,0,http://www.cpta.com.cn,200,待补:年度公告详情页,待确认,先改A后补B,source_name_final|source_date|snapshot_url|是否直接公告页
11,SRC_AUTO_WWW_CRCC_CN_8ABE7EC8,https://www.crcc.cn,0,http://zhaopin.crcc.cn,200,http://www.crcc.cn,403,优先改A,source_name_final|source_date|snapshot_url|是否官方招聘域名
12,SRC_AUTO_WWW_HUAHONGGRACE_COM_4C8679F5,https://www.huahonggrace.com,403,https://www.huahonggrace.com,403,待补:华虹招聘可访问URL,待确认,暂保留并人工补B,source_url_final|source_date|snapshot_url|manual_verification_note
13,SRC_AUTO_WWW_MCKINSEY_COM_8ACFC93B,https://www.mckinsey.com/careers,0,https://www.mckinsey.com/careers,0,待补:麦肯锡中国招聘可访问URL,待确认,暂保留并人工补B,source_url_final|source_date|snapshot_url|是否地区化链接
14,SRC_AUTO_WWW_NHC_GOV_CN_9B33C662,https://www.nhc.gov.cn,412,https://www.nhc.gov.cn,412,待补:卫健委具体公告页,待确认,暂保留并补具体公告页,source_name_final|source_date|snapshot_url|usage_scope
15,SRC_AUTO_WWW_SGCC_COM_CN_124A1CC,https://www.sgcc.com.cn,0,https://zhaopin.sgcc.com.cn,412,http://www.sgcc.com.cn,412,暂保留并人工补可访问招聘页,source_url_final|source_date|snapshot_url|manual_verification_note
16,SRC_AUTO_WWW_SINOPEC_COM_B743B6E,https://www.sinopec.com,0,https://job.sinopec.com,200,http://www.sinopec.com,200,优先改A,source_name_final|source_date|snapshot_url|是否官方招聘入口
17,SRC_AUTO_WWW_STLCHEM_COM_A6A3E33A,https://www.stlchem.com,0,http://www.stlchem.com,200,待补:卫星化学招聘页,待确认,先改A后补B,source_name_final|source_date|snapshot_url|usage
18,SRC_AUTO_WWW_WILLSEMI_COM_80A408D4,https://www.willsemi.com,0,http://www.willsemi.com.cn,200,待补:韦尔股份招聘页,待确认,优先改A,source_name_final|source_date|snapshot_url|是否官方主体一致
19,SRC_AUTO_WWW_NMPA_GOV_CN_59F31F83,https://www.nmpa.gov.cn,412,https://www.nmpa.gov.cn/datasearch/home-index.html,412,待补:药监局具体数据/公告页,待确认,暂保留并补具体页面,source_name_final|source_date|snapshot_url|usage_scope
